"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","142.164.6.70","131.243.1.10","TCP","62","1313  >  21 [SYN] Seq=1734984547 Win=8760 Len=0 MSS=1460 SACK_PERM=1"
"2","0.000718","131.243.1.10","142.164.6.70","TCP","58","21  >  1313 [SYN, ACK] Seq=1166102836 Ack=1734984548 Win=17520 Len=0 MSS=1460"
"3","2.962409","142.164.6.70","131.243.1.10","TCP","62"," 1313  >  21 [SYN] Seq=1734984547 Win=8760 Len=0 MSS=1460 SACK_PERM=1"
"4","3.000339","131.243.1.10","142.164.6.70","TCP","58"," 21  >  1313 [SYN, ACK] Seq=1166102836 Ack=1734984548 Win=17520 Len=0 MSS=1460"
"5","4.695735","142.164.6.70","131.243.1.10","TCP","54","1313  >  21 [ACK] Seq=1734984548 Ack=1166102837 Win=8760 Len=0"
"6","4.705352","131.243.1.10","142.164.6.70","FTP","60","Response: 220-"
"7","4.705687","131.243.1.10","142.164.6.70","FTP","75","Response:  \\t\\t\\tNOTICE TO USERS"
"8","4.705789","131.243.1.10","142.164.6.70","FTP","57","Response:  "
"9","4.706837","131.243.1.10","142.164.6.70","FTP","123","Response:      This computer is a Federal computer system and is the property"
"10","4.707916","131.243.1.10","142.164.6.70","FTP","124","Response:      of the United States Government. It is for authorized use only."
"11","4.708861","131.243.1.10","142.164.6.70","FTP","124","Response:      Users (authorized or unauthorized) have no explicit or implicit"
"12","4.709307","131.243.1.10","142.164.6.70","FTP","84","Response:      expectation of privacy."
"13","4.709409","131.243.1.10","142.164.6.70","FTP","57","Response:  "
"14","4.710420","131.243.1.10","142.164.6.70","FTP","120","Response:      Any or all uses of this system and all files on this system"
"15","4.711346","131.243.1.10","142.164.6.70","FTP","118","Response:      may be intercepted, monitored, recorded, copied, audited,"
"16","4.712252","131.243.1.10","142.164.6.70","FTP","119","Response:      inspected, and disclosed to authorized site, Department of"
"17","4.713223","131.243.1.10","142.164.6.70","FTP","124","Response:      Energy, and law enforcement personnel, as well as to authorized"
"18","4.714146","131.243.1.10","142.164.6.70","FTP","119","Response:      officials of other agencies, both domestic and foreign. By"
"19","4.715059","131.243.1.10","142.164.6.70","FTP","119","Response:      using this system, the user consents to such interception,"
"20","4.715945","131.243.1.10","142.164.6.70","FTP","118","Response:      monitoring, recording, copying, auditing, inspection, and"
"21","4.716912","131.243.1.10","142.164.6.70","FTP","122","Response:      disclosure at the discretion of authorized site or Department"
"22","4.717348","131.243.1.10","142.164.6.70","FTP","81","Response:      of Energy personnel."
"23","4.717419","131.243.1.10","142.164.6.70","FTP","57","Response:  "
"24","4.718337","131.243.1.10","142.164.6.70","FTP","118","Response:      Unauthorized or improper use of this system may result in"
"25","4.719222","131.243.1.10","142.164.6.70","FTP","118","Response:      administrative disciplinary action and civil and criminal"
"26","4.720198","131.243.1.10","142.164.6.70","FTP","123","Response:      penalties. By continuing to use this system, you indicate your"
"27","4.721375","131.243.1.10","142.164.6.70","FTP","123","Response:      awareness of and consent to these terms and conditions of use."
"28","4.722363","131.243.1.10","142.164.6.70","FTP","125","Response:      LOG OFF IMMEDIATELY if you do not agree to the conditions stated"
"29","4.722723","131.243.1.10","142.164.6.70","FTP","77","Response:      in this warning."
"30","4.722809","131.243.1.10","142.164.6.70","FTP","57","Response:  "
"31","4.723243","131.243.1.10","142.164.6.70","FTP","92","Response:      Your ip address is 142.164.6.70"
"32","4.723639","131.243.1.10","142.164.6.70","FTP","103","Response:      The local time is Sat Jan 11 01:30:29 2003"
"33","4.723741","131.243.1.10","142.164.6.70","FTP","57","Response:  "
"34","4.724036","131.243.1.10","142.164.6.70","FTP","86","Response: 220 <domain> FTP server ready."
"35","7.205578","142.164.6.70","131.243.1.10","TCP","54","1313  >  21 [ACK] Seq=1734984548 Ack=1166104151 Win=8760 Len=0"
"36","13.139231","142.164.6.70","131.243.1.10","FTP","70","Request: USER anonymous"
